graph name;iteration number;iteration type;runtime;k-augs searched;#k-augs found;#k-augs no conflicts;weight added;weight removed;weight improvement;old matching weight;new matching weight
cond-mat.mtx;29;F;0.001575;-1;-1;-1;3.576190;3.416663;0.159527;7701.353556;7701.513083
cond-mat.mtx;30;S;0.004950;1;3;1;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
cond-mat.mtx;31;F;0.001478;-1;-1;-1;0.200000;0.000000;0.200000;7701.513083;7701.713083
sd2010.mtx;0;S;0.033545;1;88360;14192;-1.000000;-1.000000;-1.000000;-1.000000;0.000000
sd2010.mtx;1;F;0.006616;-1;-1;-1;3847928005.000000;0.000000;3847928005.000000;0.000000;3847928005.000000
sd2010.mtx;2;S;0.220890;2;21214;6895;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
sd2010.mtx;3;F;0.012709;-1;-1;-1;2307063724.000000;1516191284.000000;790872440.000000;3847928005.000000;4638800445.000000
sd2010.mtx;4;S;0.452244;3;20044;3422;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
sd2010.mtx;5;F;0.012594;-1;-1;-1;1791696871.000000;1232142342.000000;559554529.000000;4638800445.000000;5198354974.000000
sd2010.mtx;6;S;0.033029;1;35900;9067;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
sd2010.mtx;7;F;0.009055;-1;-1;-1;818895074.000000;91411313.000000;727483761.000000;5198354974.000000;5925838735.000000
sd2010.mtx;8;S;0.224502;2;12678;3751;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
sd2010.mtx;9;F;0.011012;-1;-1;-1;807420563.000000;629872121.000000;177548442.000000;5925838735.000000;6103387177.000000
sd2010.mtx;10;S;0.386336;3;8191;1815;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
sd2010.mtx;11;F;0.012116;-1;-1;-1;616082512.000000;525083254.000000;90999258.000000;6103387177.000000;6194386435.000000
sd2010.mtx;12;S;0.022791;1;7857;2804;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
sd2010.mtx;13;F;0.007333;-1;-1;-1;119547585.000000;42061241.000000;77486344.000000;6194386435.000000;6271872779.000000
sd2010.mtx;14;S;0.189033;2;3908;1259;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
sd2010.mtx;15;F;0.007874;-1;-1;-1;203020351.000000;174307439.000000;28712912.000000;6271872779.000000;6300585691.000000
sd2010.mtx;16;S;0.313934;3;1711;563;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
sd2010.mtx;17;F;0.007792;-1;-1;-1;154836808.000000;142514376.000000;12322432.000000;6300585691.000000;6312908123.000000
sd2010.mtx;18;S;0.014272;1;1301;533;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
sd2010.mtx;19;F;0.006393;-1;-1;-1;17205091.000000;9730075.000000;7475016.000000;6312908123.000000;6320383139.000000
sd2010.mtx;20;S;0.175278;2;734;257;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
sd2010.mtx;21;F;0.006396;-1;-1;-1;33081139.000000;29083338.000000;3997801.000000;6320383139.000000;6324380940.000000
sd2010.mtx;22;S;0.307266;3;319;125;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
sd2010.mtx;23;F;0.006139;-1;-1;-1;24285011.000000;22850375.000000;1434636.000000;6324380940.000000;6325815576.000000
sd2010.mtx;24;S;0.011586;1;202;87;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
sd2010.mtx;25;F;0.005887;-1;-1;-1;1922947.000000;1141057.000000;781890.000000;6325815576.000000;6326597466.000000
sd2010.mtx;26;S;0.174744;2;96;35;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
sd2010.mtx;27;F;0.005906;-1;-1;-1;2890608.000000;2587367.000000;303241.000000;6326597466.000000;6326900707.000000
sd2010.mtx;28;S;0.300602;3;56;23;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
sd2010.mtx;29;F;0.006393;-1;-1;-1;2264213.000000;2142487.000000;121726.000000;6326900707.000000;6327022433.000000
sd2010.mtx;30;S;0.012176;1;32;14;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
sd2010.mtx;31;F;0.005369;-1;-1;-1;161890.000000;96179.000000;65711.000000;6327022433.000000;6327088144.000000
sd2010.mtx;32;S;0.172471;2;24;9;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
sd2010.mtx;33;F;0.005761;-1;-1;-1;1226247.000000;1062194.000000;164053.000000;6327088144.000000;6327252197.000000
sd2010.mtx;34;S;0.297627;3;8;4;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
sd2010.mtx;35;F;0.005705;-1;-1;-1;792265.000000;778399.000000;13866.000000;6327252197.000000;6327266063.000000
sd2010.mtx;36;S;0.012969;1;2;1;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
sd2010.mtx;37;F;0.005264;-1;-1;-1;8270.000000;6548.000000;1722.000000;6327266063.000000;6327267785.000000
sd2010.mtx;38;S;0.170724;2;8;2;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
sd2010.mtx;39;F;0.005441;-1;-1;-1;49551.000000;37489.000000;12062.000000;6327267785.000000;6327279847.000000
fl2010.mtx;0;S;0.148515;1;484481;71018;-1.000000;-1.000000;-1.000000;-1.000000;0.000000
fl2010.mtx;1;F;0.016232;-1;-1;-1;6459688582.000000;0.000000;6459688582.000000;0.000000;6459688582.000000
fl2010.mtx;2;S;0.773580;2;98884;34732;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
fl2010.mtx;3;F;0.033149;-1;-1;-1;3780351927.000000;2631061407.000000;1149290520.000000;6459688582.000000;7608979102.000000
fl2010.mtx;4;S;1.439595;3;86964;17965;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
fl2010.mtx;5;F;0.038244;-1;-1;-1;3085851009.000000;2075638818.000000;1010212191.000000;7608979102.000000;8619191293.000000
fl2010.mtx;6;S;0.122763;1;219042;57852;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
fl2010.mtx;7;F;0.037757;-1;-1;-1;2026969114.000000;152115130.000000;1874853984.000000;8619191293.000000;10494045277.000000
fl2010.mtx;8;S;0.886907;2;63276;20927;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
fl2010.mtx;9;F;0.031937;-1;-1;-1;1658794307.000000;1299507258.000000;359287049.000000;10494045277.000000;10853332326.000000
fl2010.mtx;10;S;1.472240;3;35828;9622;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
fl2010.mtx;11;F;0.036147;-1;-1;-1;1141399479.000000;966071851.000000;175327628.000000;10853332326.000000;11028659954.000000
fl2010.mtx;12;S;0.094025;1;47449;16920;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
fl2010.mtx;13;F;0.028146;-1;-1;-1;335752560.000000;87161032.000000;248591528.000000;11028659954.000000;11277251482.000000
fl2010.mtx;14;S;0.764745;2;20162;7058;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
fl2010.mtx;15;F;0.036334;-1;-1;-1;420200543.000000;361944926.000000;58255617.000000;11277251482.000000;11335507099.000000
fl2010.mtx;16;S;1.233891;3;7661;2855;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
fl2010.mtx;17;F;0.032858;-1;-1;-1;295651022.000000;272250093.000000;23400929.000000;11335507099.000000;11358908028.000000
fl2010.mtx;18;S;0.075606;1;7567;3137;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
fl2010.mtx;19;F;0.055030;-1;-1;-1;46659661.000000;22619713.000000;24039948.000000;11358908028.000000;11382947976.000000
fl2010.mtx;20;S;0.688038;2;3662;1319;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
fl2010.mtx;21;F;0.022293;-1;-1;-1;69958265.000000;63265051.000000;6693214.000000;11382947976.000000;11389641190.000000
fl2010.mtx;22;S;1.121410;3;1286;528;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
fl2010.mtx;23;F;0.020387;-1;-1;-1;44089549.000000;41518830.000000;2570719.000000;11389641190.000000;11392211909.000000
fl2010.mtx;24;S;0.056249;1;1021;439;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
fl2010.mtx;25;F;0.017799;-1;-1;-1;6275582.000000;3957212.000000;2318370.000000;11392211909.000000;11394530279.000000
fl2010.mtx;26;S;0.661330;2;456;162;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
fl2010.mtx;27;F;0.017623;-1;-1;-1;6471741.000000;5888209.000000;583532.000000;11394530279.000000;11395113811.000000
fl2010.mtx;28;S;1.107458;3;206;85;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
fl2010.mtx;29;F;0.017402;-1;-1;-1;6313704.000000;5906598.000000;407106.000000;11395113811.000000;11395520917.000000
fl2010.mtx;30;S;0.058100;1;146;58;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
fl2010.mtx;31;F;0.018159;-1;-1;-1;756972.000000;549122.000000;207850.000000;11395520917.000000;11395728767.000000
fl2010.mtx;32;S;0.663389;2;90;30;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
fl2010.mtx;33;F;0.017011;-1;-1;-1;925890.000000;849143.000000;76747.000000;11395728767.000000;11395805514.000000
fl2010.mtx;34;S;1.111184;3;53;20;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
fl2010.mtx;35;F;0.016537;-1;-1;-1;982528.000000;857562.000000;124966.000000;11395805514.000000;11395930480.000000
fl2010.mtx;36;S;0.055039;1;26;7;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
fl2010.mtx;37;F;0.016004;-1;-1;-1;62525.000000;37001.000000;25524.000000;11395930480.000000;11395956004.000000
fl2010.mtx;38;S;0.666178;2;24;8;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
fl2010.mtx;39;F;0.017831;-1;-1;-1;200572.000000;185248.000000;15324.000000;11395956004.000000;11395971328.000000
fl2010.mtx;40;S;1.209357;3;10;4;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
fl2010.mtx;41;F;0.018805;-1;-1;-1;95549.000000;91940.000000;3609.000000;11395971328.000000;11395974937.000000
fl2010.mtx;42;S;0.065356;1;16;4;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
fl2010.mtx;43;F;0.021607;-1;-1;-1;52589.000000;26189.000000;26400.000000;11395974937.000000;11396001337.000000
fl2010.mtx;44;S;0.900020;2;8;2;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
fl2010.mtx;45;F;0.021708;-1;-1;-1;42302.000000;38462.000000;3840.000000;11396001337.000000;11396005177.000000
fl2010.mtx;46;S;0.075344;1;7;2;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
fl2010.mtx;47;F;0.017806;-1;-1;-1;18847.000000;0.000000;18847.000000;11396005177.000000;11396024024.000000
fl2010.mtx;48;S;0.070733;1;2;1;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
fl2010.mtx;49;F;0.021510;-1;-1;-1;7593.000000;0.000000;7593.000000;11396024024.000000;11396031617.000000
hi2010.mtx;0;S;0.017656;1;25016;3258;-1.000000;-1.000000;-1.000000;-1.000000;0.000000
hi2010.mtx;1;F;0.002289;-1;-1;-1;450385839.000000;0.000000;450385839.000000;0.000000;450385839.000000
hi2010.mtx;2;S;0.080544;2;4812;1742;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
hi2010.mtx;3;F;0.004392;-1;-1;-1;317299992.000000;220113321.000000;97186671.000000;450385839.000000;547572510.000000
hi2010.mtx;4;S;0.152003;3;4439;924;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
hi2010.mtx;5;F;0.004581;-1;-1;-1;258336552.000000;171389049.000000;86947503.000000;547572510.000000;634520013.000000
hi2010.mtx;6;S;0.013723;1;12437;2941;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
hi2010.mtx;7;F;0.003591;-1;-1;-1;148065221.000000;11042367.000000;137022854.000000;634520013.000000;771542867.000000
hi2010.mtx;8;S;0.085115;2;3520;1137;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
hi2010.mtx;9;F;0.004414;-1;-1;-1;123367146.000000;96643663.000000;26723483.000000;771542867.000000;798266350.000000
hi2010.mtx;10;S;0.139202;3;1986;542;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
hi2010.mtx;11;F;0.004213;-1;-1;-1;98778270.000000;83529265.000000;15249005.000000;798266350.000000;813515355.000000
hi2010.mtx;12;S;0.009527;1;3229;1037;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
hi2010.mtx;13;F;0.002893;-1;-1;-1;27915738.000000;6100417.000000;21815321.000000;813515355.000000;835330676.000000
hi2010.mtx;14;S;0.073617;2;1128;404;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
hi2010.mtx;15;F;0.002828;-1;-1;-1;27665786.000000;23899844.000000;3765942.000000;835330676.000000;839096618.000000
hi2010.mtx;16;S;0.123331;3;472;177;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
hi2010.mtx;17;F;0.002730;-1;-1;-1;23746364.000000;22063665.000000;1682699.000000;839096618.000000;840779317.000000
hi2010.mtx;18;S;0.005731;1;634;244;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
hi2010.mtx;19;F;0.002399;-1;-1;-1;4240960.000000;1878024.000000;2362936.000000;840779317.000000;843142253.000000
hi2010.mtx;20;S;0.070943;2;242;94;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
hi2010.mtx;21;F;0.002343;-1;-1;-1;7068152.000000;6282241.000000;785911.000000;843142253.000000;843928164.000000
hi2010.mtx;22;S;0.164342;3;68;30;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
hi2010.mtx;23;F;0.002400;-1;-1;-1;2649925.000000;2524843.000000;125082.000000;843928164.000000;844053246.000000
hi2010.mtx;24;S;0.005461;1;91;36;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
hi2010.mtx;25;F;0.002316;-1;-1;-1;485692.000000;193520.000000;292172.000000;844053246.000000;844345418.000000
hi2010.mtx;26;S;0.071407;2;38;12;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
hi2010.mtx;27;F;0.002227;-1;-1;-1;361123.000000;306229.000000;54894.000000;844345418.000000;844400312.000000
hi2010.mtx;28;S;0.119272;3;2;1;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
hi2010.mtx;29;F;0.002193;-1;-1;-1;76935.000000;69744.000000;7191.000000;844400312.000000;844407503.000000
hi2010.mtx;30;S;0.005427;1;13;5;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
hi2010.mtx;31;F;0.002074;-1;-1;-1;146983.000000;0.000000;146983.000000;844407503.000000;844554486.000000
hi2010.mtx;32;S;0.068440;2;4;1;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
hi2010.mtx;33;F;0.002368;-1;-1;-1;21434.000000;18448.000000;2986.000000;844554486.000000;844557472.000000
hi2010.mtx;34;S;0.005395;1;3;1;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
hi2010.mtx;35;F;0.002087;-1;-1;-1;39252.000000;0.000000;39252.000000;844557472.000000;844596724.000000
astro-ph.mtx;0;S;0.017306;1;16046;3163;-1.000000;-1.000000;-1.000000;-1.000000;0.000000
astro-ph.mtx;1;F;0.001612;-1;-1;-1;4642.740451;0.000000;4642.740451;0.000000;4642.740451
astro-ph.mtx;2;S;0.077231;2;2804;1004;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
astro-ph.mtx;3;F;0.002979;-1;-1;-1;1650.899769;1180.253456;470.646313;4642.740451;5113.386764
astro-ph.mtx;4;S;0.122680;3;2412;276;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
astro-ph.mtx;5;F;0.002806;-1;-1;-1;996.342060;679.780765;316.561295;5113.386764;5429.948059
astro-ph.mtx;6;S;0.014067;1;5902;1210;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
astro-ph.mtx;7;F;0.002895;-1;-1;-1;716.441488;65.834872;650.606615;5429.948059;6080.554674
astro-ph.mtx;8;S;0.077409;2;2594;551;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
astro-ph.mtx;9;F;0.002915;-1;-1;-1;707.718247;547.964928;159.753319;6080.554674;6240.307993
astro-ph.mtx;10;S;0.124865;3;1754;186;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
astro-ph.mtx;11;F;0.002184;-1;-1;-1;350.975536;291.317233;59.658304;6240.307993;6299.966297
astro-ph.mtx;12;S;0.010116;1;1902;414;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
astro-ph.mtx;13;F;0.001930;-1;-1;-1;101.957833;13.995843;87.961990;6299.966297;6387.928287
astro-ph.mtx;14;S;0.076942;2;1348;237;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
astro-ph.mtx;15;F;0.002047;-1;-1;-1;163.223396;134.671019;28.552376;6387.928287;6416.480664
astro-ph.mtx;16;S;0.112429;3;808;85;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
astro-ph.mtx;17;F;0.001943;-1;-1;-1;114.704591;103.552924;11.151667;6416.480664;6427.632331
astro-ph.mtx;18;S;0.008183;1;648;115;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
astro-ph.mtx;19;F;0.001837;-1;-1;-1;12.198590;0.592374;11.606215;6427.632331;6439.238546
astro-ph.mtx;20;S;0.071871;2;652;94;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
astro-ph.mtx;21;F;0.001855;-1;-1;-1;38.319581;32.277589;6.041992;6439.238546;6445.280538
astro-ph.mtx;22;S;0.107352;3;305;29;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
astro-ph.mtx;23;F;0.001696;-1;-1;-1;24.912149;22.740618;2.171531;6445.280538;6447.452069
astro-ph.mtx;24;S;0.007350;1;248;37;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
astro-ph.mtx;25;F;0.001629;-1;-1;-1;2.565575;0.466918;2.098658;6447.452069;6449.550727
astro-ph.mtx;26;S;0.069662;2;408;38;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
astro-ph.mtx;27;F;0.001642;-1;-1;-1;9.864254;8.133151;1.731103;6449.550727;6451.281830
astro-ph.mtx;28;S;0.108611;3;119;9;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
astro-ph.mtx;29;F;0.001721;-1;-1;-1;4.817757;4.334373;0.483384;6451.281830;6451.765214
astro-ph.mtx;30;S;0.008987;1;112;16;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
astro-ph.mtx;31;F;0.001592;-1;-1;-1;0.878104;0.162465;0.715639;6451.765214;6452.480854
astro-ph.mtx;32;S;0.076468;2;212;15;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
astro-ph.mtx;33;F;0.001773;-1;-1;-1;4.041345;3.307163;0.734182;6452.480854;6453.215035
astro-ph.mtx;34;S;0.112445;3;51;4;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
astro-ph.mtx;35;F;0.001817;-1;-1;-1;1.324313;1.115425;0.208888;6453.215035;6453.423923
astro-ph.mtx;36;S;0.007383;1;55;10;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
astro-ph.mtx;37;F;0.001503;-1;-1;-1;0.589160;0.000000;0.589160;6453.423923;6454.013083
astro-ph.mtx;38;S;0.071894;2;210;9;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
astro-ph.mtx;39;F;0.001633;-1;-1;-1;2.173268;1.774708;0.398560;6454.013083;6454.411643
astro-ph.mtx;40;S;0.111554;3;61;2;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
astro-ph.mtx;41;F;0.001671;-1;-1;-1;0.706081;0.563278;0.142803;6454.411643;6454.554447
astro-ph.mtx;42;S;0.007606;1;13;2;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
astro-ph.mtx;43;F;0.001548;-1;-1;-1;0.054167;0.000000;0.054167;6454.554447;6454.608613
astro-ph.mtx;44;S;0.074274;2;56;3;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
astro-ph.mtx;45;F;0.001852;-1;-1;-1;1.670823;1.582174;0.088650;6454.608613;6454.697263
astro-ph.mtx;46;S;0.019061;1;5;1;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
astro-ph.mtx;47;F;0.001555;-1;-1;-1;0.033333;0.000000;0.033333;6454.697263;6454.730596
astro-ph.mtx;48;S;0.072753;2;26;1;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
astro-ph.mtx;49;F;0.001581;-1;-1;-1;0.066667;0.033333;0.033333;6454.730596;6454.763929
tx2010.mtx;0;S;0.354481;1;914231;127747;-1.000000;-1.000000;-1.000000;-1.000000;0.000000
tx2010.mtx;1;F;0.035007;-1;-1;-1;16595625638.000000;0.000000;16595625638.000000;0.000000;16595625638.000000
tx2010.mtx;2;S;1.525962;2;191866;67077;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
tx2010.mtx;3;F;0.068152;-1;-1;-1;10929235459.000000;7632861981.000000;3296373478.000000;16595625638.000000;19891999116.000000
tx2010.mtx;4;S;3.539694;3;179269;35474;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
tx2010.mtx;5;F;0.080469;-1;-1;-1;9151044488.000000;6258709719.000000;2892334769.000000;19891999116.000000;22784333885.000000
tx2010.mtx;6;S;0.266898;1;423260;107851;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
tx2010.mtx;7;F;0.066742;-1;-1;-1;5236831351.000000;375629169.000000;4861202182.000000;22784333885.000000;27645536067.000000
tx2010.mtx;8;S;1.721797;2;132790;41956;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
tx2010.mtx;9;F;0.074948;-1;-1;-1;4779456109.000000;3753058985.000000;1026397124.000000;27645536067.000000;28671933191.000000
tx2010.mtx;10;S;3.092176;3;80611;19717;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
tx2010.mtx;11;F;0.074875;-1;-1;-1;3524916057.000000;3014259608.000000;510656449.000000;28671933191.000000;29182589640.000000
tx2010.mtx;12;S;0.190502;1;93438;33173;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
tx2010.mtx;13;F;0.054097;-1;-1;-1;823379909.000000;205242298.000000;618137611.000000;29182589640.000000;29800727251.000000
tx2010.mtx;14;S;1.545311;2;42660;14627;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
tx2010.mtx;15;F;0.059385;-1;-1;-1;1263677590.000000;1096906553.000000;166771037.000000;29800727251.000000;29967498288.000000
tx2010.mtx;16;S;2.617981;3;17317;6165;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
tx2010.mtx;17;F;0.060111;-1;-1;-1;952685309.000000;887498981.000000;65186328.000000;29967498288.000000;30032684616.000000
tx2010.mtx;18;S;0.139731;1;15380;6397;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
tx2010.mtx;19;F;0.052591;-1;-1;-1;116863064.000000;54981597.000000;61881467.000000;30032684616.000000;30094566083.000000
tx2010.mtx;20;S;1.502338;2;8082;2880;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
tx2010.mtx;21;F;0.055747;-1;-1;-1;198045835.000000;178977247.000000;19068588.000000;30094566083.000000;30113634671.000000
tx2010.mtx;22;S;2.597013;3;3239;1312;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
tx2010.mtx;23;F;0.055105;-1;-1;-1;171766484.000000;162891131.000000;8875353.000000;30113634671.000000;30122510024.000000
tx2010.mtx;24;S;0.124125;1;2134;953;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
tx2010.mtx;25;F;0.043909;-1;-1;-1;14843907.000000;9211256.000000;5632651.000000;30122510024.000000;30128142675.000000
tx2010.mtx;26;S;1.589259;2;1238;429;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
tx2010.mtx;27;F;0.035912;-1;-1;-1;26411993.000000;24159350.000000;2252643.000000;30128142675.000000;30130395318.000000
tx2010.mtx;28;S;2.374268;3;512;209;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
tx2010.mtx;29;F;0.038533;-1;-1;-1;21955053.000000;20773254.000000;1181799.000000;30130395318.000000;30131577117.000000
tx2010.mtx;30;S;0.110345;1;314;144;-1.000000;-1.000000;-1.000000;-1.000000;-1.000000
tx2010.mtx;31;F;0.038989;-1;-1;-1;2402676.000000;1527607.000000;875069.000000;30131577117.000000;30132452186.000000
